,start,end,label,label_text
96,10981,10985,TIME,1677
97,11004,11030,PER,Steph. Baluzius Tutelensis
98,10987,11030,MISC,editae praemisit Steph. Baluzius Tutelensis
99,11133,11141,PER,H. Verf.
100,11217,11226,PER,Hr. Ditt.
101,11270,11297,TIME,unsere unglücklichen Zeiten
102,11414,11420,ORG,Kirche
103,11668,11703,MISC,Capitularien der Fränlischen Könige
104,11620,11633,PER,Diese Neuerer
105,11685,11703,PER,Fränlischen Könige
106,11685,11696,LOC,Fränlischen
107,11685,11703,ORG,Fränlischen Könige
108,11707,11709,PER,Er
109,11849,11851,PER,er
110,11999,12025,ORG,bürgerliche Gesellschaften
111,12090,12099,LOC,deutschen
112,12139,12143,PER,Adam
113,12246,12248,MISC,NB
114,12250,12257,PER,Fürsten
115,12356,12367,ORG,Königreiche
116,12353,12367,LOC,Jm Königreiche
117,12381,12387,ORG,Kirche
118,12406,12412,ORG,Staate
119,12423,12428,ORG,Staat
120,12396,12402,ORG,Kirche
121,12436,12442,ORG,Kirche
122,12456,12466,PER,Hrn. Ditt.
123,12531,12537,ORG,Staate
124,12509,12511,PER,er
125,12517,12523,ORG,Kirche
126,12639,12641,MISC,ic
127,12767,12788,ORG,christlichen Religion
128,12689,12695,ORG,Kirche
129,12719,12724,PER,König
130,12892,12903,MISC,Publicisten
131,12807,12809,PER,er
132,12822,12824,PER,er
133,12834,12856,PER,h. Optatus Milevitanus
134,12876,12886,MISC,Canonisten
135,12991,13003,ORG,diese Kirche
136,13079,13086,MISC,Schrift
137,13156,13165,PER,Bellarmin
138,13122,13128,ORG,Kirche
139,13156,13165,MISC,Bellarmin
140,13290,13306,PER,ihrem Oberhaupte
141,13312,13315,PER,ihm
142,13257,13275,ORG,Corps der Bischöfe
143,13331,13347,PER,Dieses Oberhaupt
144,13402,13422,ORG,Allgemeine Concilien
145,13570,13579,ORG,ecelesiae
146,13628,13637,ORG,ecclesiae
147,13690,13696,ORG,Kirche
148,13705,13712,MISC,Schrift
149,13825,13847,PER,öffentlicher Professor
150,13759,13774,TIME,zu unserer Zeit
151,13775,13820,LOC,in der Nachbarschaft von Freyburg im Breißgau
152,13877,13884,PER,Papstes
153,13927,13935,PER,H. Prof.
154,14087,14109,PER,öffentlichen Professor
155,14160,14185,ORG,bischöflichen Universität
156,14228,14231,PER,wir
157,14232,14235,PER,ihn
158,14318,14328,ORG,Canonisten
159,14354,14360,ORG,Kirche
160,14391,14400,ORG,Concilien
161,14318,14328,MISC,Canonisten
162,14417,14435,PER,Person des Papstes
163,14458,14467,PER,Hr. Ditt.
164,14627,14648,ORG,Französischen Schulen
165,14627,14640,LOC,Französischen
166,14655,14661,ORG,Kirche
167,14694,14702,PER,Christus
168,14899,14905,ORG,Kirche
169,14997,15002,ORG,Staat
170,15165,15170,PER,Fürst
171,14997,15002,MISC,Staat
172,15033,15044,ORG,kirchlichen
173,15165,15170,MISC,Fürst
174,15300,15311,EVENT,Wallfahrten
175,15313,15322,TIME,Feyertage
176,15333,15340,ORG,Klöster
177,15365,15370,PER,Fürst
178,15429,15447,EVENT,Episcopis consilio
179,15429,15447,ORG,Episcopis consilio
180,15496,15536,TIME,aus den letzten Jahren Marien Theresiens
181,15463,15468,PER,Leser
182,15557,15564,PER,Riegger
183,15519,15536,PER,Marien Theresiens
184,15661,15666,PER,Fürst
185,15707,15741,PER,Beschützer der Kirchenverordnungen
186,15722,15741,MISC,Kirchenverordnungen
187,15772,15777,PER,König
188,15772,15777,MISC,König
189,15796,15801,PER,Papst
190,15879,15889,PER,Hrn. Prof.
191,15930,15934,PER,Verf
192,16032,16037,PER,Konig
193,16085,16094,PER,Bischofen
194,16116,16135,EVENT,Reichsversammlungen
195,16152,16159,ORG,Ständen
196,16177,16186,EVENT,Concilium
197,16177,16186,ORG,Concilium
198,16228,16233,PER,Konig
199,15944,15956,MISC,Capitularien
200,16085,16094,MISC,Bischofen
201,16228,16233,MISC,Konig
202,16246,16258,MISC,Capitularien
203,16330,16336,PER,Königs
204,16349,16358,EVENT,Concilium
205,16349,16358,ORG,Concilium
206,16485,16495,EVENT,Conciliums
207,16485,16495,ORG,Conciliums
208,16294,16304,MISC,Capitulare
209,16330,16336,MISC,Königs
210,16609,16614,PER,Konig
211,16549,16559,MISC,Capitulare
212,16609,16614,MISC,Konig
213,16708,16726,EVENT,Episcopis consilio
214,16708,16726,ORG,Episcopis consilio
215,16758,16761,PER,Ree
216,16792,16795,PER,ihm
217,16885,16896,PER,Straßburger
218,16839,16847,PER,H. Prof.
219,16885,16896,MISC,Straßburger
220,16885,16896,LOC,Straßburger
221,16946,16948,PER,er
222,16976,16986,PER,Merovinger
223,16992,17002,PER,Carolinger
224,16959,16971,MISC,Capitularien
225,16976,16986,ORG,Merovinger
226,16992,17002,ORG,Carolinger
227,17083,17095,MISC,Capitularien
228,17157,17264,PER,"Prinz Rohan⸗Rochefort Canonicus in Straßburg Deo duce, et Auspice Deipara, Praeside Franc. Georg. Ditterich"
229,17192,17201,LOC,Straßburg
230,17379,17387,ORG,Ecclesia
231,17467,17482,PER,Episcopos regni
232,17600,17608,ORG,ecclesia
233,17616,17631,PER,episcopos regni
234,17694,17703,ORG,Germaniae
235,17734,17765,PER,Henricus IV. Imperator exercuit
236,17785,17799,PER,Gregorius VII.
237,17682,17703,PER,episcoporum Germaniae
238,17694,17703,LOC,Germaniae
239,17807,17815,PER,Pontifex
240,17834,17845,PER,Callixtum I
241,17850,17860,PER,Henricum V
242,17873,17880,PER,Caesari
243,17897,17904,ORG,Imperio
244,18097,18107,PER,Hrn. Prof.
245,18112,18137,ORG,Orden des goldenen Sporns
246,18151,18162,ORG,Christorden
247,18342,18359,ORG,imperio germanico
248,18301,18313,LOC,Vestphalicae
249,18330,18337,PER,Caesare
250,18383,18399,ORG,coronae Gallicae
251,18391,18399,LOC,Gallicae
252,18404,18412,LOC,Suecicae
253,18446,18455,PER,Hr. Prof.
254,18504,18515,MISC,canonischen
255,18604,18613,ORG,Deutschen
256,18604,18613,LOC,Deutschen
257,18696,18706,ORG,Frankreich
258,18711,18719,ORG,Schweden
259,18604,18613,MISC,Deutschen
260,18696,18706,LOC,Frankreich
261,18711,18719,LOC,Schweden
262,18737,18739,PER,V.
263,18741,18742,PER,Z
264,18771,18809,EVENT,Anfange des dießlährigen Studlencursus
265,18783,18795,TIME,dießlährigen
266,18871,18920,ORG,neuen Lehrstuhle der Staaterechnungs Wissenschaft
267,18818,18862,ORG,juridische Facultät der hohen Schule zu Wien
268,18858,18862,LOC,Wien
269,18987,18998,PER,Hrn. Brand.
270,19282,19290,PER,Regenten
271,19292,19300,PER,Censoren
272,19306,19320,PER,Schriftsteller
273,19282,19290,ORG,Regenten
274,19292,19300,MISC,Censoren
275,19322,19326,TIME,1787
276,19468,19469,PER,V
277,19806,19807,PER,V
278,19957,19960,PER,Rec
279,20034,20037,PER,ihm
280,20888,20889,PER,V
281,21099,21107,PER,Schöpfer
282,21196,21205,PER,Schöpfers
283,23047,23048,PER,V
284,23077,23079,PER,er
285,23794,23797,PER,der
286,23807,23809,PER,er
287,23798,23799,PER,V
288,23870,23883,PER,seinen Lesern
289,23909,23911,PER,er
290,24247,24253,ORG,Staats
291,24285,24290,ORG,Staat
292,24322,24331,MISC,afficiren
293,24829,24835,PER,Gottes
294,25235,25237,PER,er
295,25004,25005,PER,V
296,25182,25186,PER,Gott
297,25652,25653,PER,V
298,25756,25776,ORG,gesetzgebenden Macht
299,26026,26063,MISC,k. k. Verordnung für die Büchercensur
300,26093,26095,PER,er
301,26018,26019,PER,V
302,26026,26063,EVENT,k. k. Verordnung für die Büchercensur
303,26068,26084,TIME,11ten Jun. 1781.
304,26146,26148,PER,er
305,26355,26362,ORG,Staaten
306,26440,26441,PER,V
307,26517,26519,PER,Er
308,26678,26684,ORG,Staate
309,27240,27246,ORG,Staate
310,27313,27318,ORG,Staat
311,27438,27442,PER,Verf
312,27666,27671,ORG,Staat
313,27497,27500,PER,Rec
314,28079,28090,MISC,Atheisterey
315,28309,28316,ORG,Staates
316,28460,28466,ORG,Staate
317,28344,28347,PER,Rec
318,28707,28713,ORG,Staats
319,28827,28831,PER,Verf
320,29080,29082,PER,er
321,28889,28894,ORG,Staat
322,29371,29381,ORG,kirchliche
323,29315,29316,PER,V
324,29432,29452,ORG,kirchlichen Religion
325,29478,29484,ORG,Staate
326,29820,29826,PER,Gottes
327,29959,29984,TIME,am Sesttage des heil. Joh
328,29975,29979,PER,heil
329,29981,29984,PER,Joh
330,29986,29990,PER,Bapt
331,29986,29990,TIME,Bapt
332,30024,30028,PER,heil
333,30030,30055,PER,Erzvaters Benedict Profeß
334,30092,30114,ORG,Reichsstifte Elchingen
335,30092,30114,LOC,Reichsstifte Elchingen
336,30128,30155,PER,"G. Zeiler, der Gottesgel. D"
337,30157,30184,PER,und Domprediger in Augoburg
338,30176,30184,LOC,Augoburg
339,30206,30235,ORG,hochwürd. Ordinariats. Augsb.
340,30229,30235,LOC,Augsb.
341,30243,30268,ORG,Joseph Wolffischen Buchh.
342,30243,30268,PER,Joseph Wolffischen Buchh.
343,30269,30273,TIME,1787
344,30288,30322,PER,Hr. Zeiler Domprediger in Augsburg
345,30311,30322,LOC,in Augsburg
346,30336,30358,ORG,Reichsstifte Elchingen
347,30349,30358,LOC,Elchingen
348,30524,30528,PER,Hr Z
349,30819,30821,PER,er
350,30872,30888,PER,seinen Vorläufer
351,30864,30871,PER,Erlöser
352,31113,31125,PER,Neuprofessen
353,31127,31133,PER,Hr. 3.
354,31341,31345,PER,H. Z
355,31753,31764,PER,Domprediger
356,31638,31662,MISC,aufgeklärtesten Regenten
357,31638,31662,ORG,aufgeklärtesten Regenten
358,32155,32164,PER,H. Dompr.
359,32315,32317,PER,er
360,32335,32353,EVENT,gegenwärtigen Rede
361,32389,32396,PER,Hr. Zr.
362,32614,32642,PER,wohlehrwurdigen Neuprofessen
363,32568,32597,ORG,freyen Reichstiftes Elchingen
364,32466,32478,ORG,Protestanten
365,32524,32530,PER,Gottes
366,32543,32552,ORG,h. Kirche
367,32588,32597,LOC,Elchingen
368,32712,32724,ORG,Protestanten
369,32926,32930,PER,Gott
370,32778,32785,PER,P. Merz
371,32967,32969,PER,Er
372,33131,33143,PER,gewöhnlichen
373,33144,33158,PER,Schultheologen
374,33192,33204,ORG,Protestanten
375,33496,33520,PER,seinem himmlischen Vater
376,33397,33408,PER,seinen Sohn
377,33521,33530,EVENT,am Kreuze
378,33521,33530,LOC,am Kreuze
379,33349,33355,PER,Hr. Z.
380,33381,33389,PER,Abrahams
381,33481,33495,PER,Jesus Christus
382,33626,33629,PER,die
383,33630,33642,PER,Neuprofessen
384,33596,33608,MISC,zweyte Taufe
385,33596,33608,EVENT,zweyte Taufe
386,33630,33642,ORG,Neuprofessen
387,33826,33830,PER,heil
388,33806,33808,PER,er
389,33705,33711,PER,Hr. 3.
390,33826,33830,MISC,heil
391,33832,33838,PER,Vätern
392,33832,33838,MISC,Vätern
393,33904,33907,PER,die
394,33908,33912,PER,heil
395,33856,33858,PER,er
396,33908,33912,MISC,heil
397,33914,33919,PER,Väter
398,33914,33919,MISC,Väter
399,34291,34297,PER,G.. P.
400,34291,34297,MISC,G.. P.
401,34348,34361,TIME,8. Sept. 1787
402,34362,34377,LOC,zu Tieffe nbach
403,34345,34403,EVENT,am 8. Sept. 1787 zu Tieffe nbach entstandenen Feuersbrunst
404,34519,34521,PER,Ph
405,34523,34526,PER,Jos
406,34587,34636,ORG,Neichsritterstifte Odenheim Speyerischen Bisthums
407,34528,34568,PER,Brunner Pfarrern (Pfarrer) zu Liefenbach
408,34606,34614,LOC,Odenheim
409,34615,34636,LOC,Speyerischen Bisthums
410,34555,34568,LOC,zu Liefenbach
411,34662,34668,MISC,Brande
412,34662,34668,EVENT,Brande
413,34722,34735,PER,Enderesischen
414,34722,34745,MISC,Enderesischen Schriften
415,34722,34745,ORG,Enderesischen Schriften
416,34702,34708,LOC,Speyer
417,34702,34708,MISC,Speyer
418,34854,34866,PER,Dompredigers
419,34986,34990,PER,Verf
420,35036,35048,PER,Dorfpfarrers
421,35104,35145,TIME,Nacht vom 2 — auf den 29sten December 787
422,35151,35195,PER,"P. Constantinus Langhaider, Benedictiner von"
423,35179,35191,ORG,Benedictiner
424,35196,35268,PER,"Kremsmünster, Hochs. Salzburgischer geheimer Rath, und Rector magnisicus"
425,35196,35208,LOC,Kremsmünster
426,35210,35215,MISC,Hochs
427,35269,35322,PER,"an der hiesigen boben Schnle, ein wegen verschiedener"
428,35323,35374,PER,"Schriften aus dem Kitchenrechte, beruhter Gelehrter"
429,35414,35420,LOC,Mnster
430,35217,35231,LOC,Salzburgischer
431,35578,35630,PER,"Hr. Brunner, ein junger, thätiger, und helldenkender"
432,35631,35655,PER,katholischer Geistlicher
433,35684,35686,LOC,zu
434,35676,35697,PER,Pfarrer zu Tiefenbach
435,35687,35697,LOC,Tiefenbach
436,36026,36049,MISC,gegenwärtigen Standrede
437,36026,36049,EVENT,gegenwärtigen Standrede
438,36058,36065,PER,Hr. Br.
439,36074,36084,EVENT,Beerdigung
440,36340,36343,PER,der
441,36344,36371,PER,"ächte Philosoph, und Christ"
442,36526,36539,PER,unserm Redner
443,36670,36677,PER,Hr. Br.
444,37051,37059,PER,Hrn. Br.
445,37098,37100,PER,er
446,37172,37273,PER,"Hrn. B. v. Beroldingen, Dommherrn zu Speyer und Hildesheim, dann Canonicus des Ritterstiftes Odenheim"
447,37309,37339,PER,dieser erhabene Menschenfreund
448,37251,37273,ORG,Ritterstiftes Odenheim
449,37183,37194,LOC,Beroldingen
450,37209,37215,LOC,Speyer
451,37220,37230,LOC,Hildesheim
452,37265,37273,LOC,Odenheim
453,37477,37483,PER,G.. P.
454,37497,37505,MISC,schleden
455,37507,37509,PER,Er
456,37606,37631,PER,Frevhert von Moser zu Ulm
457,37632,37654,TIME,in gegenwartigem Jahre
458,37628,37631,LOC,Ulm
459,37705,37714,LOC,Stuttgard
460,37720,37745,MISC,Forst⸗ und Jagdbibliothek
461,37720,37745,ORG,Forst⸗ und Jagdbibliothek
462,37720,37745,LOC,Forst⸗ und Jagdbibliothek
463,37875,37879,TIME,1787
464,37959,37979,ORG,kirchlichen Religion
465,37990,37994,PER,Verf
466,38033,38038,ORG,Staat
467,38202,38204,PER,er
468,38216,38218,PER,er
469,38237,38248,ORG,(der Staat)
470,38416,38425,PER,Versasser
471,38454,38491,MISC,in einem Staate herrschenden Lehrform
472,38454,38469,LOC,in einem Staate
473,38463,38469,ORG,Staate
474,38758,38778,ORG,kirchlichen Religion
475,38797,38803,ORG,Staats
476,39057,39061,PER,Verf
477,39085,39090,ORG,Staat
478,39210,39219,ORG,im Staate
479,39210,39241,LOC,im Staate privilegirte Religion
480,39463,39470,ORG,Staates
481,39556,39564,ORG,Religion
482,40275,40279,MISC,Flor
483,40284,40290,ORG,Staats
484,40343,40360,ORG,Religion.parteyen
485,40473,40480,PER,Fürsten
486,40381,40388,PER,an Gott
487,40473,40480,ORG,Fürsten
488,40510,40516,ORG,Staate
489,40711,40714,PER,Rec
490,40732,40733,PER,V
491,40774,40797,ORG,menslichen Gesellschaft
492,41226,41228,MISC,ic
493,41461,41467,ORG,Staate
494,41485,41497,ORG,seine Bürger
495,41535,41539,PER,Verf
496,41641,41644,PER,dem
497,41612,41617,ORG,Thron
498,41645,41653,ORG,Regenten
499,41645,41653,PER,Regenten
500,41730,41735,ORG,Thron
501,41797,41812,ORG,stehende Armeen
502,41817,41824,MISC,Gesetze
503,41817,41824,ORG,Gesetze
504,41894,41902,ORG,Regenten
505,41894,41902,PER,Regenten
506,41923,41931,ORG,Religion
507,41981,41985,PER,Gott
508,42086,42087,PER,V
509,42352,42360,PER,Regenten
510,42112,42114,PER,er
511,42141,42161,ORG,kirchlichen Religion
512,42185,42192,ORG,Thrones
513,42280,42285,ORG,Thron
514,42352,42360,ORG,Regenten
515,42767,42770,PER,Rec
516,42842,42863,PER,Fürsten Deutschlandes
517,42886,42930,ORG,verschiedenen christlichen Religionoparteyen
518,42934,42947,ORG,ihren Staaten
519,42787,42789,PER,er
520,42842,42863,ORG,Fürsten Deutschlandes
521,42850,42863,LOC,Deutschlandes
522,43072,43075,PER,Rec
523,43232,43239,ORG,Thrones
524,43290,43291,PER,V
525,43683,43686,PER,Rec
526,43713,43719,PER,Regent
527,43713,43719,ORG,Regent
528,43840,43841,PER,V
529,44070,44096,ORG,Staaten eines aufgeklärten
530,44103,44123,ORG,in den Staaten eines
531,44133,44140,MISC,Fürsten
532,44124,44140,ORG,bigotten Fürsten
533,44147,44148,PER,V
534,44365,44371,ORG,Partey
535,44192,44194,PER,er
536,44239,44247,ORG,Religion
537,44319,44327,ORG,Religion
538,44354,44359,ORG,Secte
539,44423,44431,ORG,Religion
540,44455,44460,ORG,Secte
541,44466,44472,ORG,Partey
542,44497,44502,ORG,Secte
543,44508,44523,ORG,Religionspartey
544,44611,44616,ORG,Staat
545,44757,44759,PER,Er
546,45013,45017,PER,Gott
547,44847,44855,ORG,Religion
548,44887,44891,PER,Gott
549,45080,45086,ORG,Staate
550,45334,45345,PER,Unterthanen
551,45409,45417,PER,Regenten
552,45334,45345,ORG,Unterthanen
553,45409,45417,ORG,Regenten
554,45668,45671,ORG,dem
555,45622,45623,PER,V
556,45672,45678,ORG,Staate
557,45684,45690,ORG,Staate
558,45729,45738,ORG,sein Volk
559,45816,45821,MISC,mogen
560,45970,45976,ORG,Staate
561,46047,46059,ORG,seinem Volke
562,46334,46335,PER,V
563,46350,46361,MISC,Offenbarung
564,46374,46380,ORG,Staate
565,46496,46500,PER,Verf
566,46525,46553,MISC,schriftstellerische Freyheit
567,46572,46591,ORG,moralische Religion
568,46593,46595,PER,Er
569,46662,46681,ORG,allgemeine Religion
570,46704,46710,PER,Gottes
571,46783,46788,ORG,Staat
572,46804,46816,MISC,Preßfreyheit
573,46853,46863,MISC,Menschheit
574,46973,46976,PER,Rec
575,47106,47109,PER,Rec
576,47191,47195,PER,Verf
577,47259,47263,PER,Verf
578,47420,47435,ORG,in der Religion
579,47570,47581,MISC,Offenbarung
580,47654,47669,ORG,in der Religion
581,47697,47705,MISC,Vernunft
582,47885,47909,PER,sogenannten Naturalisten
583,47897,47909,MISC,Naturalisten
584,47897,47909,ORG,Naturalisten
585,47949,47967,PER,unter Naturalisten
586,47955,47967,MISC,Naturalisten
587,47946,47948,PER,er
588,47922,47923,PER,V
589,47955,47967,ORG,Naturalisten
590,48261,48265,PER,Gott
591,48464,48465,PER,V
592,48471,48490,MISC,Schriftstellerrecht
593,48506,48514,ORG,Regenten
594,48520,48531,ORG,Privatleute
595,48533,48535,PER,Er
596,48609,48617,ORG,Regenten
597,48721,48729,PER,Regenten
598,48721,48729,ORG,Regenten
599,48755,48761,MISC,Nation
600,48755,48761,ORG,Nation
601,48786,48795,ORG,als Staat
602,48780,48785,ORG,Staat
603,49002,49009,ORG,Fürsten
604,49164,49171,PER,Fürsten
605,49210,49217,PER,Fürsten
606,49164,49171,ORG,Fürsten
607,49210,49217,ORG,Fürsten
608,49408,49416,PER,Regenten
609,49392,49399,ORG,Staates
610,49408,49416,ORG,Regenten
611,49628,49635,ORG,Staates
612,49677,49681,PER,Verf
613,49743,49745,PER,Er
614,50121,50122,PER,V
615,50205,50208,PER,Rec
616,50416,50417,PER,V
617,50518,50521,PER,Rec
618,50537,50552,ORG,in einem Staate
619,50534,50536,PER,er
620,50650,50653,PER,V..
621,50712,50724,MISC,Verstorbenen
622,50747,50766,MISC,allerhöchsten k. k.
623,50767,50777,MISC,Verordnung
624,50729,50777,EVENT,Gelegenheit einer allerhöchsten k. k. Verordnung
625,50669,50711,MISC,katholische Lehre von den Ahlässen für die
626,50834,50844,PER,Verfassers
627,50897,50909,TIME,heut zu Tage
628,50846,50855,PER,Recensent
629,50913,50930,LOC,Oesterreichischen
630,51032,51050,PER,gelehrte Verfasser
631,51074,51103,MISC,Lehre der katholischen Kirche
632,51084,51103,ORG,katholischen Kirche
633,51232,51238,ORG,Kirche
634,51466,51469,ORG,sie
635,51411,51417,ORG,Kirche
636,51619,51625,ORG,Kirche
637,51669,51688,MISC,privilegirte Altäre
638,51723,51734,ORG,päpstlichen
639,51765,51769,PER,Verf
640,51859,51871,ORG,katholischen
641,51927,51929,PER,er
642,51991,51997,ORG,Kirche
643,52305,52306,PER,E
644,52365,52372,MISC,Rastatt
645,52365,52372,LOC,Rastatt
646,52380,52392,MISC,Dornerischen
647,52380,52392,LOC,Dornerischen
648,52380,52402,ORG,Dornerischen Druckerey
649,52513,52542,PER,berühmten deutschen Gelehrten
650,52543,52576,PER,an den Verfasser dieses Gedichtes
651,52600,52603,PER,mir
652,52745,52749,PER,mich
653,52523,52532,LOC,deutschen
654,52819,52822,PER,sie
655,53046,53061,MISC,Unsterblichteit
656,53388,53403,MISC,Unsterblichkeit
657,53489,53492,PER,Jch
658,53540,53612,ORG,lönigliche Academle der Künste und mechanischen Wissenschaften zu Berlin
659,53606,53612,LOC,Berlin
660,53695,53736,MISC,Monatoschrift der Academie der Künste und
661,53737,53765,MISC,mechanischen Wis senschaften
662,53713,53765,ORG,Academie der Künste und mechanischen Wis senschaften
663,54208,54213,ORG,Sates
664,54471,54486,PER,Liebenswürdigen
665,54456,54459,PER,ich
666,54751,54798,PER,"Wesen, das wir als Schöpfer der Welt betrachten"
667,55010,55014,PER,Verf
668,55192,55203,TIME,Mitternacht
669,55137,55145,PER,Potosi's
670,55137,55151,MISC,Potosi's Miuen
671,55718,55722,PER,Gott
672,55772,55779,PER,A... W.
673,56005,56018,LOC,Deutschlandes
674,56279,56281,ORG,rc
675,56283,56291,ORG,Academle
676,56415,56437,PER,Hrn. Hofrath Baldinger
677,56523,56531,PER,Wucherer
678,56514,56518,LOC,Wien
679,56514,56518,PER,Wien
680,56523,56531,ORG,Wucherer
681,56650,56688,ORG,Oesterreichischen Aerzte und Wundärzte
682,56761,56764,PER,ihn
683,56547,56556,PER,Verfasser
684,56650,56667,LOC,Oesterreichischen
685,56728,56749,PER,H. Hofrathe Baldinger
686,56837,56882,ORG,medieinischen Facultäten im Oesterreichischen
687,56933,56946,ORG,Feldwundärzte
688,56961,56975,ORG,Civilwundärzte
689,56984,57027,ORG,miedieinisch⸗chirurgischen Akademie in Wien
690,57087,57112,ORG,Doctoren der Arzeneykunst
691,56865,56882,LOC,Oesterreichischen
692,57023,57027,LOC,Wien
693,57164,57165,PER,V
694,57258,57345,ORG,Jo sephinische medicinisch⸗chirurgische Akademie für die Bildung vollkommener Wundärzte
695,57234,57236,PER,er
696,57385,57391,LOC,Wiener
697,57385,57400,ORG,Wiener Facultät
698,57447,57465,PER,Hr. Hofrath Gruner
699,57476,57500,MISC,Almanach für das J. 1786
700,57485,57500,TIME,für das J. 1786
701,57416,57417,PER,V
702,57569,57573,LOC,Wien
703,57675,57692,PER,H. Hofrath Gruner
704,57969,57984,PER,H. Hofr. Gruner
705,58036,58060,MISC,Almanach für das J. 1787
706,58045,58060,TIME,für das J. 1787
707,58139,58164,ORG,Oesterreichischen Staaten
708,58132,58164,LOC,in den Oesterreichischen Staaten
709,58010,58025,PER,H. v. Brambilla
710,58292,58326,ORG,medicinisch⸗chirurgischen Akademie
711,58519,58532,PER,Hrn. Hofrathe
712,58697,58701,LOC,Wien
713,58867,58886,PER,Hrn. Hofrath Gruner
714,58973,59018,MISC,Almanacum perpetuum für Aerzte und Nichtärzte
715,59023,59030,TIME,J. 1787
716,59032,59085,MISC,Medicinisches Gutachten über die Critomanie des Herrn
717,59086,59090,MISC,Hofr
718,59080,59099,PER,Herrn Hofr. Gruners
719,59092,59127,MISC,Gruners von einem mitleidigen Arzte
720,59129,59133,TIME,1787
721,59135,59157,MISC,Kritische Beurtheilung
722,59162,59209,MISC,monströse Portraitgemälde eines Jenenser Arztes
723,59210,59220,MISC,betreffend
724,59194,59202,LOC,Jenenser
725,59194,59209,PER,Jenenser Arztes
726,59222,59226,TIME,1787
727,59312,59346,ORG,medicinisch⸗chirurgischen Akademie
