,annotation_id,line_id,start,end,label,label_text,merged
306,430,368,165,195,PER,dieser erhabene Menschenfreund,False
308,432_27720_36971_433,372,37,62,PER,Frevhert von Moser zu Ulm,True
322,457,393,8,17,ORG,im Staate,False
325,462,402,5,22,ORG,Religion.parteyen,False
327,465,402,135,142,PER,Fürsten,False
333,471,413,100,103,PER,dem,False
341,479,421,240,248,PER,Regenten,False
344,486,425,55,76,PER,Fürsten Deutschlandes,False
346,37040_488,425,99,143,ORG,verschiedenen christlichen Religionoparteyen,True
347,37042_490,425,147,160,ORG,ihren Staaten,True
352,497,432,12,18,PER,Regent,False
354,501,433,50,76,ORG,Staaten eines aufgeklärten,False
355,502,433,83,103,ORG,in den Staaten eines,False
359,506,437,179,185,ORG,Partey,False
360,508,439,0,5,ORG,Secte,False
361,509,439,11,17,ORG,Partey,False
362,510,440,16,21,ORG,Secte,False
363,511,440,27,42,ORG,Religionspartey,False
368,517,447,13,24,PER,Unterthanen,False
369,518,447,88,96,PER,Regenten,False
371,521,449,51,54,ORG,dem,False
382,537,469,24,48,PER,sogenannten Naturalisten,False
385,540,470,32,50,PER,unter Naturalisten,False
386,541,470,38,50,MISC,Naturalisten,False
389,546,475,38,46,PER,Regenten,False
390,547,476,14,20,MISC,Nation,False
393,37117_550,478,15,24,ORG,als Staat,True
394,553,483,75,82,PER,Fürsten,False
395,554,483,121,128,PER,Fürsten,False
397,558,484,90,98,PER,Regenten,False
404,37131_567,494,14,29,ORG,in einem Staate,True
406,571,496,47,59,MISC,Verstorbenen,False
407,572,496,82,101,MISC,allerhöchsten k. k.,False
408,573,496,102,112,MISC,Verordnung,False
411,577,498,51,63,TIME,heut zu Tage,False
422,598_27863_37171_601,519,4,76,ORG,lönigliche Academle der Künste und mechanischen Wissenschaften zu Berlin,True
424,604,520,7,48,MISC,Monatoschrift der Academie der Künste und,False
425,605,520,49,77,MISC,mechanischen Wis senschaften,False
426,622,526,28,43,PER,Liebenswürdigen,False
434,664,545,9,17,PER,Wucherer,False
437,667,547,107,145,ORG,Oesterreichischen Aerzte und Wundärzte,False
440,670_37234_672,548,32,77,ORG,medieinischen Facultäten im Oesterreichischen,True
442,674,548,128,141,ORG,Feldwundärzte,False
443,675,548,156,170,ORG,Civilwundärzte,False
445,677_27946_37237_678,548,179,222,ORG,miedieinisch⸗chirurgischen Akademie in Wien,True
447,680,548,282,307,ORG,Doctoren der Arzeneykunst,False
450,682_37240_27952_684,550,33,120,ORG,Jo sephinische medicinisch⸗chirurgische Akademie für die Bildung vollkommener Wundärzte,True
455,688_27957_37244_689,551,45,63,PER,Hr. Hofrath Gruner,True
456,690,551,74,98,MISC,Almanach für das J. 1786,False
457,37245_27958_691,551,83,98,TIME,für das J. 1786,True
463,697,555,58,82,MISC,Almanach für das J. 1787,False
464,37251_27965_698,555,67,82,TIME,für das J. 1787,True
466,700,555,161,186,ORG,Oesterreichischen Staaten,False
468,701_27967_37254_702,556,22,56,ORG,medicinisch⸗chirurgischen Akademie,True
472,708,560,0,45,MISC,Almanacum perpetuum für Aerzte und Nichtärzte,False
473,27973_37261_709,560,50,57,TIME,J. 1787,True
474,710,561,0,53,MISC,Medicinisches Gutachten über die Critomanie des Herrn,False
476,712,561,54,58,MISC,Hofr,False
477,711_27974_37262_713,561,48,59,PER,Herrn Hofr.,True
479,715,562,0,35,MISC,Gruners von einem mitleidigen Arzte,False
481,717,563,0,22,MISC,Kritische Beurtheilung,False
482,718,564,4,51,MISC,monströse Portraitgemälde eines Jenenser Arztes,False
484,720,564,52,62,MISC,betreffend,False
488,723_27980_37268_724,565,84,118,ORG,medicinisch⸗chirurgischen Akademie,True
498,734,572,61,107,MISC,"Nitter und der Knappe, ein altes Liedlein ohne",False
499,736,572,108,119,MISC,Dissonanzen,False
502,739,574,22,48,MISC,"Affenland, oder der Doctor",False
503,740,574,49,60,MISC,Fan-saro-ne,False
514,752,588,43,49,MISC,Doctor,False
515,753,588,50,92,MISC,Simio-Midas oder der Verf. des Affenlandes,False
516,754,589,4,30,ORG,medicinisch⸗facultätischen,False
522,761,598,44,51,MISC,Simio -,False
523,762,598,52,99,MISC,Midas nebst unparteyischen Anmerkungen über die,False
524,37303_760_28035_763,598,37,99,PER,V. des Simio - Midas nebst unparteyischen Anmerkungen über die,True
525,764,598,100,136,MISC,florirende Chie rurgie im Affenlande,False
526,765,598,100,136,PER,florirende Chie rurgie im Affenlande,False
532,779_28051_37314_780,612,81,114,ORG,medicinischchirurgischen Akademie,True
534,782,615,0,49,MISC,"Gutmüthige Bemerkungen, oder Beyträge zur Chronik",False
539,790,624,56,110,PER,"jenen Professor, der alle Krankheiten durch den Geruch",False
540,791,624,111,124,PER,unterscheidet,False
542,792_28066_37322_793,627,30,57,PER,Stifters des Jlluminatismus,True
552,815,646,0,52,MISC,"Carl Andreas Berghäusers Schäfergedichte, und andere",False
553,816,646,53,64,MISC,Näschereyen,False
561,824,661,34,49,MISC,Schäfergedichte,False
566,831,662,262,268,MISC,Catull,False
568,833,662,270,276,MISC,Tibull,False
570,835,662,282,289,MISC,Properz,False
572,837,662,303,324,MISC,Contes de la Fontaine,False
575,853,668,0,38,MISC,The London dledlcal Journal Vol. VIII.,False
577,856,669,0,4,MISC,Part,False
578,857,670,0,14,MISC,"I, JJ, et lIJ.",False
581,862,673,0,30,MISC,An Essay on diffieult Labours.,False
582,864,674,0,4,MISC,Part,False
583,865,675,0,1,MISC,J,False
587,872,678,0,48,MISC,ATreatise on the Venom ofethe Viper: on the Ame.,False
588,874,679,0,13,MISC,rlcan Poisons,False
589,876,680,0,49,MISC,"and on te Cherry Laurel, and some other Vegetable",False
590,878,680,50,57,MISC,Poisons,False
591,879,681,0,50,MISC,to which are annexed Otservations on the prlmitive,False
592,883,681,51,79,MISC,Structare of the Animal Body,False
593,885,682,0,55,MISC,difserent Experiments on the reproduetion ol the nerres,False
594,888,683,0,20,MISC,and a descriptlon os,False
595,890,684,0,15,MISC,ne Canal ot tke,False
613,919_28195_37430_920,705,46,60,PER,Hrn. Verfasser,True
618,928,711,12,56,MISC,Physiological Conjectnres concerning eertain,False
619,931,711,57,109,MISC,functions os the Human Economy in the Foetus and the,False
620,933,711,110,115,MISC,Adult,False
621,28207_37440_934,712,3,14,PER,James yzer.,True
624,938,715,0,54,MISC,Memoirs of the Medical Society of London instituted in,False
625,939,715,55,68,MISC,the Vear 1773,False
627,942,716,0,12,MISC,Vol. I. 8vo.,False
631,957,721,0,51,MISC,"Gesangbuch nebst angehängten öffentlichen Gebethen,",False
632,958,721,52,78,MISC,zum Gebrauche der herzogl.,False
636,962,722,0,54,MISC,"Wirtembergisch katholischen Hofkapelle, auf gnädigsten",False
637,963,722,55,65,MISC,Befehl Sr.,False
638,964,723,0,8,MISC,Herzogl.,False
639,965,724,0,7,MISC,Durchl.,False
640,966,725,4,21,MISC,Drucke übergeben.,False
643,37474_28237_971,730,24,44,TIME,Ende des Jahres 1786,True
645,974,732,77,94,MISC,"Wirtembergischen,",False
647,976,732,95,146,MISC,im katholischen Deutschlande noch immer nicht genug,False
648,978,732,147,169,MISC,belannten Gesangbuches,False
651,28244_981_37480_982,733,135,202,PER,"Hofprediger Werkmeister, Benedictiner aus der Reichsabtey Neresheim",True
656,987,736,212,224,ORG,Christenthum,False
659,990,744,8,30,MISC,göttlichen Offenbarung,False
660,991,744,41,53,MISC,Worte Gottes,False
673,1004,766,35,43,ORG,Christen,False
683,1015,843,13,42,TIME,am Geburts⸗und Namenstage Sr.,False
684,1016,844,0,8,TIME,Herzogl.,False
685,1017,845,0,7,TIME,Durchl.,False
687,1019,878,31,52,PER,unser liebenswürdiger,False
702,1048_37563_1050,898,31,64,MISC,gemeinen lutherischen Gesangbuche,True
710,37584_28324_1062,907,24,37,TIME,im Jahre 1787,True
714,1069_37587_28328_1070,909,66,109,ORG,in der katholischen Hofkapelle zu Stuttgart,True
718,1073_28330_37591_1074,910,29,55,PER,Hrn. Herzog von Wirtemberg,True
720,1076,910,137,146,MISC,Uiber die,False
722,1078,910,147,191,MISC,deutsche Meß/ und Abendmahlsanstalten in der,False
723,1079,910,192,228,MISC,katholischen Hofkapelle zu Stuttgart,False
725,1081,911,4,43,MISC,Sendschreiben zur Belehrung der Mainzer,False
727,1083,911,44,79,MISC,Journalisten von geistlichen Sachen,False
729,1085,916,100,103,PER,des,False
734,1090_28341_1091,921,81,103,PER,gelehrte Sendschreiber,True
744,37620_1102,924,121,149,ORG,"Katholiken, die in Stuttgart",True
746,1104,924,150,155,ORG,leben,False
749,1107,926,81,102,MISC,Mainzer Monathschrift,False
753,1110_28359_37628_1111,928,36,59,PER,Hofprediger Werkmeister,True
756,1117_37634_28366_1118,931,402,429,LOC,im katholischen Deutschland,True
758,1121,931,601,610,MISC,gothische,False
760,1125,932,149,161,MISC,verdeutschte,False
765,1132,938,0,40,MISC,In scientia naturali principia veritatis,False
766,1133,938,41,74,MISC,obseruationibus confirmari debent,False
773,28383_37655_1141,942,64,71,PER,Linne s,True
774,37656_1143,942,64,95,MISC,Linne s botanischer Philosophie,True
780,1150,953,0,1,PER,J,False
784,37668_1152_37670_1154,953,47,107,MISC,Jacquins Anleitung zur Pflanzenkenntniß nach Linne's Methode,True
793,28410_1170_37708_1172,973,19,91,PER,"Fr. Exter, Prof. und Consistorialassessor, berühmt wegen seiner ausgebr.",True
794,1173,974,0,10,PER,numiomatis,False
798,28416_37714_1178,980,0,57,PER,"Gmelin's, der W. u. A. Doctors, der letztern öffentlichen",True
799,1179,980,58,91,PER,ordentlichen Lehrers in Göttingen,False
801,1181,980,92,111,MISC,Abhandlung über die,False
814,28442_37744_1200,996,21,40,PER,Herrn Prof. Wunsche,True
828,28474_37781_1222,1016,32,47,TIME,im Herbste 1784,True
835,1230_28485_37796_1231,1022,91,110,ORG,Hannöversche Kammer,True
837,37802_1236,1027,0,16,TIME,Jm April und May,True
838,28489_37803_1237,1027,31,39,LOC,im Harze,True
842,28497_1242_37822_1243,1042,44,62,TIME,von 1473 bis jetzt,True
844,28501_37828_1245,1043,18,35,TIME,von 1781 bis 1786,True
852,1262,1071,0,52,MISC,"Fabeln und Geschichten zum Unterricht für Kinder, in",False
853,1263,1071,53,91,MISC,Absicht auf ihre Behandlung der Thiere,False
855,1264_28517_37846_1265,1071,97,114,PER,Miß Sarah Trimmer,True
861,1272,1075,86,98,PER,Verfasserinn,False
862,1274,1075,103,106,PER,den,False
866,1282,1089,0,46,MISC,"Ernst Se lmann, eine Geschichte von den vielen",False
867,1283,1089,47,81,MISC,Wendungen des menschlichen Herzens,False
871,28541_1287,1092,0,6,ORG,Fried.,True
878,1295,1103,5,44,MISC,Geschichte von den vielen Wendungen des,False
879,1296,1103,45,65,MISC,menschlichen Herzens,False
881,1297_28550_37866_1298,1104,46,58,PER,alte Selmann,True
891,1330,1127,102,120,MISC,Jenalsche Jnstitut,False
896,1353,1135,49,52,PER,die,False
897,1354,1135,53,87,PER,Herausgeber der allg. Litteraturz.,False
898,1355,1135,69,87,MISC,allg. Litteraturz.,False
899,1363,1137,263,266,PER,der,False
900,1364,1137,267,303,PER,"junge, helldenkende, gesittete Ernst",False
905,1394,1158,31,39,ORG,Berliner,False
907,1396,1158,41,50,ORG,Leipziger,False
909,1398,1158,52,58,ORG,Jenaer,False
913,1409,1163,39,48,MISC,Jenalsche,False
914,1410,1163,39,48,ORG,Jenalsche,False
915,1413,1166,33,37,ORG,Jena,False
920,1430,1173,4,34,PER,diese Herren vom Musenalmanach,False
922,1432,1173,21,34,MISC,Musenalmanach,False
925,1441,1181,29,43,MISC,Quid est Papa?,False
926,28709_38004_1442,1185,0,9,TIME,Anno 1787,True
927,1444,1190,0,48,MISC,Pisti Aletliini Epistolarum ad Auctorem anonimum,False
928,1445,1191,0,8,MISC,opusculi,False
929,1446,1192,0,25,MISC,"inscripti, Quid est Papa?",False
933,1449_28714_38011_1450,1196,52,60,PER,H. Eybel,True
934,1451,1197,0,18,MISC,Was ist der Papst?,False
935,28721_38020_1454,1199,112,125,TIME,im Jahre 1786,True
940,1459_38029_1460,1202,98,112,ORG,deutschen Höfe,True
942,1462,1203,62,73,PER,päpstlichen,False
943,1464,1204,39,49,PER,Verfassers,False
950,1471_28734_38043_1472,1208,53,63,PER,P. Mamachi,True
958,1481,1212,124,137,MISC,Bulle Pius VI,False
979,1508,1241,11,14,PER,Abt,False
986,1518_28780_1519,1247,41,55,PER,dieses Auctors,True
991,1525,1250,65,80,PER,übrigen Apostel,False
996,1531,1252,33,47,PER,unser romische,False
997,1533,1252,48,55,PER,Theolog,False
1007,1547,1257,120,134,ORG,alten Missalen,False
1009,1548_38123_1549,1257,144,194,TIME,am Dienstage nach den drey Sonntägen in der Fasten,True
1022,1563_38140_1564,1263,43,62,ORG,römischen Monarchie,True
1028,1572,1269,32,37,PER,Vater,False
1039,1587,1275,199,207,PER,Bischöfe,False
1043,1592,1278,65,73,ORG,Aposteln,False
1044,1593,1278,65,73,PER,Aposteln,False
1045,1594,1280,33,42,MISC,Augustins,False
1050,1600,1282,22,30,PER,Aposteln,False
1052,1602_28838_38168_1603,1282,100,110,PER,P. Mamachi,True
1056,1608,1283,88,101,PER,bischoflichen,False
1063,1616,1286,399,406,PER,Päpsten,False
1066,1621,1291,6,14,ORG,Bischöfe,False
1067,1622,1291,6,14,PER,Bischöfe,False
1069,1624,1292,108,111,EVENT,dem,False
1070,1625,1292,108,111,ORG,dem,False
1072,1627,1292,112,135,ORG,Kirchenrathe zu Ephesus,False
1079,1634,1295,50,56,PER,Kirche,False
1082,1637,1295,102,105,ORG,die,False
1086,1644,1297,183,206,ORG,amtierenden Geistlichen,False
1093,1658,1311,0,52,MISC,"Trauer⸗ und Lustspiele ohne ärgerliche Caressen, und",False
1094,1659,1311,53,89,MISC,Heirathen für die studierende Jugend,False
1107,1672_38236_1673,1320,85,114,ORG,orthodoxen christkatholischen,True
1113,1680_38243_1681,1331,37,55,MISC,Jacob und Benjamin,True
1120,1687_38251_1688,1334,35,72,MISC,"Cyrillus der Cappadocier, ein Singsp.",True
1122,1689_38254_1690,1335,14,83,MISC,"Joseph Unterkönig in Aegypten von seinen Brüdern erkannt, ein Singsp.",True
1124,1691_38258_1692,1337,0,62,MISC,"Paulinus von Nola, oder die wahre Menschenliebe, ein Trauersp.",True
1127,1695_38265_1696,1340,14,82,MISC,"Martlnez, oder die besiegte Rachbegierde, ein christliches Trauerso.",True
1133,38280_1704,1354,4,32,MISC,erste Singspiel Cyrillus 2c.,True
1134,1707,1356,11,18,PER,Trabant,False
1136,1720,1373,0,35,MISC,Gebethe eines katholischen Christen,False
1139,1722_28934_38298_1723,1375,33,60,ORG,Guinbertischen Buchhandlung,True
1142,1734,1385,0,41,MISC,Archiv für Magnetismus und Somnambulismus,False
1143,1735,1385,0,41,ORG,Archiv für Magnetismus und Somnambulismus,False
1152,1744,1395,9,24,ORG,dieses Archives,False
1158,1757,1411,19,50,MISC,Journal von und für Deutschland,False
1160,1759,1412,20,47,MISC,Gothaische deutsche Zeitung,False
1184,1784_38365_1786,1442,29,66,MISC,Journals von und für Deutschland 1787,True
1193,1798,1453,0,46,MISC,Oeffentliche Vorlesungen in Straßburg über den,False
1197,1802,1458,40,50,MISC,Gothaische,False
1198,1803,1458,51,59,LOC,deutsche,False
1199,1804,1458,51,67,MISC,deutsche Zeitung,False
1209,1815_38397_29031_1816,1468,36,67,ORG,Societé harmonique zu Straßburg,True
1213,29035_38401_1820,1472,15,45,PER,Hr. Dr. Birnstiel von Bruchsal,True
1230,1847,1492,5,18,MISC,dieses Archiv,False
1231,1848,1492,5,18,ORG,dieses Archiv,False
1233,1851,1496,0,29,MISC,Geschichte der Pfarre zu uns.,False
1234,1852,1497,0,4,MISC,lieb,False
1235,1853,1498,0,54,MISC,"Frauen (Frau) in Bamberg, (bey Gelegenheit des vierten",False
1237,1855,1498,55,105,MISC,Jubeljahres) an dem 4ten Jubeljahre der dermaligen,False
1238,1856,1498,106,117,MISC,Pfarrkirche,False
1245,1864_29083_38433_1865,1507,302,319,PER,H. Schellenberger,True
1254,1877,1519,18,30,PER,bischöfliche,False
1257,29100_38453_1881,1520,41,61,TIME,im 15ten Jahrhundert,True
1258,1882,1522,32,40,MISC,Religion,False
1260,1885,1526,47,60,EVENT,Reformationen,False
1261,1887,1526,82,103,PER,katholischen Bischdfe,False
1262,38460_1888,1526,82,103,ORG,katholischen Bischdfe,True
1266,29112_38469_1895,1528,57,79,LOC,im Stall zu Bethleheni,True
1278,29159_38517_1935,1556,75,92,TIME,von 1721 und 1786,True
1280,29164_38520_1939,1558,0,13,TIME,Jm Jahre 1786,True
1282,1940_29166_38521_1941,1559,0,31,TIME,Jn allen Jahren von 1721 — 1786,True
1284,29168_38524_1943,1561,0,8,TIME,Bis 1769,True
1285,29169_38525_1944,1562,0,9,TIME,Seit 1769,True
1290,1952,1569,0,4,LOC,1787,False
1342,2057,1649,0,21,MISC,Metaphysik der Sitten,False
1356,2078,1685,6,27,MISC,Metaphysik der Sitten,False
1358,2082,1688,3,40,MISC,Versuch über die speculative Vernunft,False
1368,2109,1712,177,190,PER,Erscheiuungen,False
1376,2121,1732,0,2,PER,Jn,False
1396,38763_2149,1757,31,54,ORG,katholische Deutschland,True
1406,2162,1772,4,17,MISC,Veterinarius.,False
1414,2174,1786,0,136,MISC,"Statistische Abhandlung über die Mängel in der Regierungsverfassung der geistlichen Wahlstaaten, und von den Mitteln, solchen abzuhelfen",False
1432,29474_2197,1805,353,378,PER,vortrefflichen Verfassers,True
1444,2217,1821,3,11,ORG,Klöstern,False
1445,2218,1821,34,42,ORG,Prälaten,False
1452,2226,1843,23,131,MISC,"Predigten auf alle Sonn⸗ und Festtage des Jahres für gemeine Leute 1ster, der sämmtlichen Predigten 6ter Th.",False
1459,2235,1849,32,41,LOC,deutscher,False
1460,38866_2236,1849,32,50,ORG,deutscher Prediger,True
1497,2290,1935,96,104,ORG,Christen,False
1502,2296,1936,208,216,ORG,Christen,False
1508,29614_38982_2304,1945,27,45,PER,Christian Ehrlich.,True
1509,2305,1947,0,54,MISC,Eigene Apologie über den ersten Tom der neuen Dogmatik,False
1516,2313,1948,0,18,LOC,desselbigen Jahres,False
1525,29634_2324,1953,15,31,ORG,Engelbert Engel.,True
1526,29635_39006_2325,1953,15,31,PER,Engelbert Engel.,True
1537,2337,1962,20,49,PER,bayerische Cistercienser Nro.,False
1545,29652_2345,1965,139,171,PER,seines fränkischen Ordensbruders,True
1548,2348,1966,54,65,PER,fränkischen,False
1567,2372,1994,15,24,LOC,deutschen,False
1582,39080_2387,2008,69,93,ORG,katholischen Geistlichen,True
1604,2429,2058,266,292,LOC,Residenzstadt des Bischofs,False
1609,29759_39231_2439,2073,27,44,TIME,von 1700 bis 1780,True
1633,2477,2105,43,54,ORG,Geistlichen,False
1647,2499,2133,4,10,PER,Junius,False
1669,2533,2205,0,5,TIME,Wiens,False
1670,2534,2205,0,51,MISC,Wiens gegenwärtiger Zustand unter Josephs Regierung,False
1678,2543,2211,105,130,ORG,osterreichischen Erblande,False
1679,2544,2211,146,155,PER,Verfasser,False
1682,29902_39446_2550,2222,4,24,LOC,Vorstadt Alstergasse,True
1687,29913_39478_2559,2235,4,20,LOC,Vorstadt Erdberg,True
1688,29919_39528_2563,2261,55,67,TIME,im Jahr 1785,True
1689,2565,2274,22,37,LOC,Universalspital,False
1698,29945_39567_2580,2292,32,46,PER,Joseph Quarin.,True
1699,29946_39568_2581,2293,0,18,TIME,Am 30. August 1786,True
1710,2608,2323,166,184,ORG,deutschen Publicum,False
1721,30064_39708_2656,2342,166,176,LOC,Stadt Wien,True
1726,30084_39739_2673,2357,27,55,ORG,Fels eckerische Buchhandlung,True
1730,2683,2360,86,131,MISC,zur Besserung der Beredsamkeit in Deutschland,False
1741,2718,2380,20,30,ORG,Protestant,False
1745,2723,2383,95,101,PER,Päpste,False
1756,2737,2392,4,19,ORG,Bischöfe zu Rom,False
1761,2743_30175_39857_30177_2745,2394,40,66,PER,"Siricius, Jnnocenz der Ite",True
1764,30182_39862_2749,2395,46,70,PER,seiner Gemahlinn Leontia,True
1768,39871_2755,2396,245,263,ORG,Kriegern in Norden,True
1770,2757_30187_39873_2759,2397,17,39,PER,Papst Cölius Hormiodas,True
1777,2768,2400,68,78,PER,päpstliche,False
1797,2798_30218_39918_2799,2411,215,241,PER,"Päpste Victor, und Stephan",True
1801,39919_2800_30219_2801_2802_30221_2803,2411,265,322,PER,Bischöfen Policrates von Ephesus und Cyprian von Carthago,True
1812,2818,2421,22,39,ORG,kirchliche System,False
1815,2833,2436,22,43,PER,unbekannten Verfasser,False
1826,30295_40017_2859,2478,112,122,TIME,im J. 1786,True
1828,2862,2482,4,60,MISC,Bombe Peters des Großen in der Stadt bibliothek von Riga,False
1857,2903,2508,0,114,MISC,Reise der Zöglinge des Lübeckischen Erziehungoinstituts nach Hamburg bey Gelegenheit der blanchardischen Luftreise,False
1862,2909,2509,0,5,ORG,Gotha,False
1870,2923,2521,0,19,MISC,Moral für Jünglinge,False
1874,2927,2526,218,242,PER,diesem rüstigen Corsaren,False
1877,40128_2932,2532,58,84,ORG,katholischen Geistlichkeit,True
1901,2968,2581,28,68,PER,"Theolog von B —l, H — — —g, und St — — g",False
1919,40226_30456_2995,2620,37,83,PER,"churpfälzischer Büchercensor, H. Hofrath Lamey",True
1942,3039,2648,202,212,ORG,Göttingern,False
1961,40357_30581_3091,2687,45,67,TIME,bis zum Cnde des Febr.,True
2004,3158,2779,0,15,MISC,Skizze von Wien,False
2021,30696_40462_3180,2788,42,52,TIME,im J. 1786,True
