,document_id,text
25,26,"(Der Verfasser würde durch diese Bestimmung den Gegenstand der Aufklärung in zu enge Gränzen eingeschlossen haben, wenn er nicht schon vorausgesetzt hätte, daß er uur von der Aufklärung rede, in so fern sie allgemejnes Gut werden soll.)"
26,27,"3. Diese Aufklärung, welche in der eigenen und freyen Wirksamkeit des Verstandes besteht, ist die wesentliche Grundlage unserer Glückseligkeit."
27,28,Eigenes und von Antorität unabhängiges Denken verschasfet uns folgende Vortheile:
28,29,"1. Es bildet allererst den menschlichen Geist, d. h., die obern Kräfte der Seele, die sonst ganz (wäre es nicht richtiger gesagt, wenn es hieße: beynahe oder fast ganz?) unthätig bleiben."
29,30,Der Mensch wird ein Weiser.
30,31,"(Der V. wird wohl dadurch nichts sagen wollen, als: ohne unabhängiges und eigenes Denken kann nie ein wahrer Weiser werden;"
31,32,"denn nicht jeder, der unabhängig und selbst denkt, wird schon ein Weiser.)"
32,33,2.
33,34,Es macht alle übrigen Kentnisse des Menschen erst nuzbar.
34,35,"(Jst zu viel gesagt, und würde wahr seyn, wenn es hieße: der Mensch kann alle erworbenen Kenntuisse nur dann erst wahrhaft für sich benutzen.)"
35,36,3.
36,37,"Die Erkenntniß der moralischen Wahrheiten, wenn sie eine Folge eigenen Nachdenkens ist, wird heller."
37,38,4.
38,39,"Sie erhalten dadurch stätes Wachothum, und stäte Erweiterung."
39,40,5.
40,41,"Und so gewinnt auch die ruhige Uiberzeugung,."
41,42,"(Rec. wünscht, daß der V. hier, wo er sagt, daß durch eigenes Nachdenken die ruhige Uiberzengung befordert werde, einen Unterschied zwischen jenen, die ihre Verstandskräfte gehörig zu gebrauchen wissen, und jenen, die dieses nicht wissen, gemacht hätte;"
42,43,"der gemeine Mann z. B., wie seine Lage bioher beschaffen war, noch itzt beschaffen ist, und wahrscheinlicher Weise noch mehrere Jahrhunderte hindurch beschaffen seyn wird, fühlt gewiß mehr Ruhe dabey, wenn er gewisse Wahrheiten auf das Ansehen seiner vernünftigern, oder vernünftiger seyn sollenden Lehrer bloß glaubt, als wenn es ihm einfiele, sie ohne alle Hülfskenntnisse selbst zu prüfen.)"
43,44,"6. Selbsterkannte Wahrheit ist sicher und ausdauernd wirksam, als Antrieb zum Guten, und Beruhigung im Leiden."
44,45,"(Diesen Satz entwickelt, und beleuchtet der V. ganz vortrefflich."
45,46,"Was er S. 14 sagt,, was ich nicht verstehe;"
46,47,"das kann auch keine Empfindung, oder Entschließung in mir hervorbringen,, scheint unterdessen nicht psychologisch richtig zu seyn;"
47,48,lehret nicht die Erfahrung vielmehr das Gegentheil?
48,49,"Vielleicht nimmt der V. das Wort Verstehen im weitschichtigsten Sinne, und will durch Nichtverstehen alle Erlenntniß und was immer für eine Vorstellung der Sache ausschließen; und dann ist alles ganz richtig."
49,50,"Die Einwendung aber, die man ihm hier machen könnte: warum nämlich unsere aufgeklärten Menschen nicht ungleich tugendhafter, und merklich freudiger, und getroster in Gefahren und Leiden sind, als die Anhänger des blinden Glaubens?"
50,51,loset er auf die befriedigendste Art auf;
51,52,"indem er sagt, daß es ihren Vorstellungen an der erforderlichen Lebhaftigkeit und Vertraulichkeit fehle, weil die meisten unserer jetzigen aufgeklärten Menschen ihre Aufklärung erst in dem männlichen Alter erlangt haben;"
52,53,daß die meisten Menschen das eigene Denken in der Religion nur als Nebensache betreiben;
53,54,"und daß überhaupt die im Alter frisch angepflanzten Jdeen das Triebwerk nicht haben konnen, welches Jdeen haben, die in der Kindheit eingepräget worden, und in der Seele gleichsam verwachsen sind."
54,55,ꝛc.
55,56,"Daraus glaubt der V. auch die so oft mißgedeutete Erscheinung erklären zu konnen, daß Leute noch auf ihrem Sterbebette ihre Aufklärung ängstlich verlassen, und ihre Zuflucht wieder zum blinden Glauben genommen haben.)"
56,57,"7. Selbsterlannte Wahrheit macht (erweckt) Liebe zur Wahrheit, und Wärme für sie."
57,58,8.
58,59,"Sie hat eine eigene Kraft zur Tugend, dadurch, daß sie auf lauter Erfahrung sich gründet."
59,60,9.
60,61,Sie ist die einzige (vorzüglichste) ächte Quelle der Toleranz und der duldenden Meuschenliebe.
61,62,(Sind Toleranz und duldende Menschenliebe nicht eino?
62,63,10.
63,64,"Sie allein schützt die Welt vor dem Ungeheuer des Aberglaubens, und dessen schrecklichen, die Menschheit zerstorenden Folgen."
64,65,— Diesen Vortheilen des unabhängigen Selbstdenlens fügt der V. am Ende dieseAbsch.
65,66,"noch jene hinzu, welche für das bürgerliche Leben daraus herfließen."
66,67,"Der aufgeklärte Mensch 1. sieht überall richtiger, urtheilt unbefangener;"
67,68,2. weiß sich in bürgerlichen Geschäften besser zu benehmen;
68,69,3. hat (caeteris paribus) weniger Leidenschaften;
69,70,4. begeht weniger Fehltritte;
70,71,5. ist viel fähiger zur Freundschaft;
71,72,"und 6. unläugbar ein besserer Diener und Unterthan für den Fürsten, als der, welcher alle seme Vorstellungen und Urtheile sich von andern vorsagen läßt, und sie nachbethet."
72,73,4.
73,74,Jn diesem Abschnitt schildert der V. des Aberglaubens Schande und Gefahr;
74,75,"er zeigt darin, daß der Aberglauben, den er gerade dem unabhängigen Selbstdenken entgegensetzt, von jeher die reichhaltigste Quelle des menschlichen Elendes, der scheußlichsten Jrrthümer, der schändlichsten und unmeuschlichsten Thaten und der Barbarey und des gänzlichen Verfalls der Völker gewesen ist."
75,76,"5. Freyheit zu denlen, unabhängig von aller Autorität, ist das heiligste, wichtigste, unverletzlichste Recht der Menschheit."
76,77,"(Ob und wie sich dieser Satz mit dem Glauben an eine Offenbarung, an die heilige Schrift, an die Aussprüche der Kirche, an die symbolischen Bücher c. vertrage, darüber zu entscheiden fühlt Rec."
77,78,keinen Beruf.)
78,79,Gott hat uns dieses Recht gegeben;
79,80,und eben darum kann es uns kein Mensch nehmen.
80,81,"Das untrügliche Kennzeichen, daß wir es von Gott erhalten haben, ist;"
81,82,"weil wir Kraft, Trieb und Bedürfniß dazu haben."
82,83,"(Bey dieser Gelegenheit macht der V. einige heftige Ausfälle auf die Rechtsgelehrten, die fähig sind, für und wider eine Befugniß gelehrte Deductionen zu liefern;"
83,84,und sagt am Ende:
84,85,"glaubet mir, das juristische Necht ist eine wächserne Nase."
85,86,"Daraus folgt aber nur, daß jede Sache sich von zweyen Seiten darstellen lasse, daß die Begriffe von Recht und Unrecht, wie viele andere relative Begrisse seyen."
86,87,c. Rec.
87,88,"gedenlet aber dadurch die häuisigen, sehr oft geflissentlichen Rechtsverdrehungen nicht zu entschuldigen, die von den Dienern der Gerechtigkeit selbst unternommen werden, und auf die der V. gezielt haben mag."
88,89,"Ferner sagt er hier unter andern auch: wem Gott die Macht gab, der hat auch das Necht."
89,90,"Dieser Satz ist, wie er da liegt, zu unbestimmt;"
90,91,"es sollte wenigstens beygesetzt seyn: die Macht gehörig und rechtmäßig, d. i. den Absichten Gottes gemaß, und nicht zum Nachtheile eines Dritten zu gebeauchen."
91,92,"Denn ohne diesen Beysatz würden alle Gewaltthätigkeiten, auch jene, die zur Unterdrückung der Denkfreyheit unternommen würden, alle gewaltsamen Emporungen der Unterhanen gegen ihre rechtmäßigen Vorgesetzte, alle Versuche, die Religion mit Feuer und Schwert zu verbreiten, ꝛc."
92,93,"durch jenen unbedingten Satz nicht nur entschuldiget, sondern sogar gerechtfertiget werden.) (Das übrige im nächsten Stücke."
93,94,)
94,95,Rechtsgelehrsamkeit.
95,96,De Regum Francorum Capitularibus.
96,97,Authore Franc.
97,98,Georg.
98,99,"Ditterich, Rdmi et celsmiEpiscopi Principis Spirensis Consil."
99,100,intimo act.
100,101,Iuris publ.
101,102,ecel.
102,103,Prof. publ.
103,104,ord.
104,105,Straßburg bey Levrault 1787.
105,106,in 4.
106,107,"Man würde sich sehr irren, wenn man durch diesen Titel verführt, glauben sollte, der H. geh."
107,108,"Rath, und Prof. hätte irgend eine historischkritische Abhandlung über die Capitularien der Fränkischen Konige schreiben wollen."
108,109,Auch ist Rec.
109,110,"in dieser Materie mit Dissertatio de Capitularium Regum Francorum nomine, dignitate, auctoritate, et usu tam in rebus eccles."
110,111,"quam politicis, nec non de eorundem collectionibus et editionibus, quam per modum praefationis collectioni Capitularium Regum Frane."
111,112,a se Parisiis an.
112,113,1677.
113,114,editae praemisit Steph.
114,115,Baluzius
115,116,"Tutelensis so sehr zufrieden, daß er sich ordentlich freute — sich betrogen zu sehen — weil unter den Händen des H. Verf."
116,117,dergleichen Sachen nicht gut zu gerathen pflegen.
117,118,Wovon ist also die Rede?
118,119,Hr. Ditt.
119,120,"declamirt gleich Anfangs fürchterlich über unsere unglücklichen Zeiten, in denen die Neuerer solche Grundsätze ausstreuen, die allen Jahrhunderten unbekannt waren, wodurch die Rechte der Kirche verletzt, die Gläubigen von ihren rechtmäßigen Hirten abgezogen, Heilig mit Unheiligem vermischt, und das Heil der Seelen, und das Wohl der Staaten der augenscheinlichsten Gefahr bloß gestellt wird."
120,121,Diese Neuerer aber beriefen sich dfters auf die Capitularien der Fränlischen Könige.
121,122,"— Er wil also zeigen, daß sie darin kein patroeinium suae opinionis finden."
122,123,Dieß wäre denn freylich eine nagelneue Sache.
123,124,"Lasset uns sehen, wie er sich dabey benimmt."
124,125,"Zuerst kommen allgemeine Grundsätze, die drey Theile der Abhandlung einnehmen."
125,126,— Die Menschen sind aus natürlichem Jnstinct in bürgerliche Gesellschaften getreten.
126,127,"(Das heißt ab ovo anfangen, wie's jener that, der vom deutschen Gleichgewichte handeln wollte, und von Adam anfieng.)"
127,128,Jn dieser bürgerl.
128,129,Gesellschaft muß eine Oberherrschaft seyn.
129,130,"Jene, die sie ausüben, werden NB."
130,131,Fürsten genannt.
131,132,"Diese haben das Recht allen Schaden vom Volke abzuwenden, seinen Nutzen zu befordern."
132,133,Jm Königreiche ist auch die Kirche.
133,134,"Ob die Kirche im Staate, oder der Staat in der Kirche sey? scheint Hrn. Ditt."
134,135,eine sehr müßige Frage zu seyn.
135,136,"Denn sagt er: die Kirche ist im Staate, wenn man sagt, sie sey eine Gesellschaft der Menschen, die in dem Bekenntniß des nämlichen Glaubens ic. vereinigt sind;"
136,137,"der Staat ist hingegen in der Kirche, wenn man sagt, dieser König mit allen seinen Unterthanen hat sich zur christlichen Religion belannt."
137,138,"(Wodurch er klar zeigt, er habe vom h. Optatus Milevitanus an bis auf uns die Canonisten, und Publicisten sammt und sonders über diese Frage nicht verstanden, oder nicht verstehen wollen.)"
138,139,"Was diese Kirche für eine Verfassung habe, sey nicht aus eiteln Grübeleyen, sondern aus der Schrift zu entscheiden."
139,140,Die Definition der Kirche wird gleich darauf aus dem Bellarmin genommen.
140,141,Diese ist also eine ungleiche Gesellschaft.
141,142,"Die Oberherrschaft darin ist bey dem Corps der Bischöfe vereinigt mit ihrem Oberhaupte, und ihm untergeordnet."
142,143,"Dieses Oberhaupt hat den Primat des Anseheno, und der Gerichtsbarkeit."
143,144,Allgemeine Concilien haben die höchste Gewalt der Entscheidung.
144,145,"Da es aber die Erfahrung lehrt, daß diese sehr hart versammelt werden, so sey es nothwendig - consensum ecelesiae tacitum sufficere, ut infallibile sit visibilis ecclesiae capitis iudicium."
145,146,(Nun das heißt die Verfassung der Kirche aus der Schrift bestimmen!
146,147,"Es ist wahrlich unbegreiflich, wie zu unserer Zeit in der Nachbarschaft von Freyburg im Breißgau ein öffentlicher Professor — noch die Unfehlbarleit des Papstes — seinen Lehrlingen vorpredigen kann!"
147,148,"Hat H. Prof. nie Gelegenheit gehabt, sich in den unzähligen canonischen Büchern über diese Absurdität eines Bessern zu belehren?"
148,149,"Oder da man Unwissenheit von einem öffentlichen Professor nicht vermuthen soll, ist es etwa Furcht an einer bischöflichen Universität die Wahrheit zu bekennen?"
149,150,"Dann bedauerten wir ihn, und seine Schüler aufrichtig."
150,151,Fast scheint uns dieses Letztere zu seyn.
151,152,"Denn die Canonisten gestehen der zerstreuten Kirche die Unfehlbarkeit zu, wie den Concilien, nicht aber der Person des Papstes; und dieses Beyde hat Hr. Ditt."
152,153,"so mit einander vermischt, daß man denlen soll, er habe nicht klärer reden wollen."
153,154,"Was es immer ist, so wirft es ein fürchterliches Licht über den Zustand der Französischen Schulen.)"
154,155,"Die Kirche hat nicht das bloße Lehramt von Christus erhalten, sondern eine wahre gesetzgebende, und richterliche Gewalt."
155,156,"Sie erstreckt sich nicht bloß auf innere, und ganz geistliche, sondern auch auf äußere Gegenstände."
156,157,Die ersteren sind bloß der Kirche vorbehalten.
157,158,Die letzteren hingegen sind zweyfach:
158,159,"einige haben gar leinen Einfluß auf den Staat, und sind daher auch bloß der kirchlichen Bestimmung unterworfen: z. B. die Lehre (also wenn rachgierige — Geistliche Aufruhr und Zwietracht predigen, so hat der Fürst nichts, als die Ehre, zuzuhdren?"
159,160,"Einige hingegen haben Einfluß dahin, und können daher gemischte Geschäfte genannt werden."
160,161,"Z. B. Wallfahrten, Feyertage, Almosen, Klöster ꝛc."
161,162,"Diese kann auch der Fürst, in so weit sie Einfluß haben — sed commuuicato prius"
162,163,cum Episcopis consilio — ordnen.
163,164,(Die Leser erinnern sich ohne Zweifel aus den letzten Jahren Marien Theresiens einer ähnlichen dem Riegger unterschobenen Clausel:
164,165,"audita tamen — si fieri potest, etiam altera parte.)"
165,166,"Mehr Recht hat der Fürst nicht, als daß er sich rühmen kann, der Beschützer der Kirchenverordnungen zu seyn."
166,167,"(Auch jener, daß der König die Krone von dem Papst habe, von ihm abgesetzt werden könne?"
167,168,Diesmal hat die Praxis der Theorie des Hrn. Prof. gewaltig voraegriffen.)
168,169,Jetzt kommt der Verf.
169,170,"auf die Capitularien, und zeigt, daß 1. wenn darin etwas aeistliches vorkommt, dieses nicht dem Konig zuaeschrieben werden müsse, sondern allein den Bischofen, als welche sich bey Reichsversammlungen von den übrigen Ständen absonderten, und Concilium hielten, dessen Verordnungen nachher der Konig durch seine Capitularien nur kund machte."
170,171,"2. Wurde aber ein Capitulare aus eigener Beweaung des Königs ohne dieses Concilium gemacht, so hat derselbe als Beschützer der Kirchensatzungen nichts anders gethan, als daß er irgend einen Canon eines ältern Conciliums aufs neue auswärmte, und einschärfte."
171,172,"3. Enthält ein Capitulare gemischte Gegenstände, so konnte es freylich der Konig Iure suo et nemine consulto machen."
172,173,"(Wie dieses mit der obigen Clausel communicato prius cum Episcopis consilio vereinbart werden könne, sieht Ree."
173,174,nicht ein;
174,175,"wohl aber scheint ihm dieses abermal ein Beweis zu seyn, daß der H. Prof. die Wahrheit den schwachen Augen der Straßburger nicht nackt zeigen wollte.)"
175,176,"Die 3 Puncte beweist er nun durch Capitularien der Merovinger, und Carolinger;"
176,177,"und zwingt sie nach seiner vorgefaßten Meinung, anstatt seine Meinung nach den Capitularien zu richten."
177,178,"Am Ende sind 12 Disputirsätze angehängt, die der Prinz Rohan⸗Rochefort Canonicus in Straßburg Deo duce, et Auspice Deipara, Praeside Franc."
178,179,Georg.
179,180,Ditterich ete.
180,181,vertheidigte.
181,182,Sie enthalten die strengste Kritik auf sich selbst;
182,183,wir wollen also einige nur abschreiben.
183,184,I.
184,185,"Ecclesia nunquam generali lege, aut"
185,186,pacto summo imperanti
186,187,laico concessit
187,188,ius nominandi Episcopos regni sui.
188,189,II.
189,190,Neque
190,191,hoc
191,192,ius illi competit
192,193,ex idea maiestatis.
193,194,Ill.
194,195,Varii
195,196,tamen summi
196,197,"imperantes ex pactis specialibus cum ecclesia initis episcopos regni sui, magno huius bono, nominant."
197,198,"IV. Investiturae episcoporum Germaniae per annulum, et pedum, qualem Henricus IV. Imperator exercuit, se iuste opposuit Gregorius VII."
198,199,summus Pontifex.
199,200,VI.
200,201,"Pactum inter Callixtum I, et Henricum"
201,202,"V. initum nec Caesari iniuriosum, nec Imperio noxium fuit."
202,203,XProtestationes summorum
203,204,"Pontificum utrique Paci (Religiosae, et estph.)"
204,205,"oppositae non quidem hasce pacificationes invalidant, iustae tamen et efficaces fuerunt."
205,206,"Wir wünschen dem Hrn. Prof. zum Orden des goldenen Sporns, oder zu dem Christorden, oder wenigstens zu einer Belobungobulle, und benedictio paterna sehr viel Glück."
206,207,"Am lächerlichsten ist der letzte Satz: Authentica pacis Vestphalicae interpretatio a Caesare, et imperio germanico solo fieri non potest;"
207,208,"coronae Gallicae, et Suecicae accessio necessaria videtur."
208,209,"Der Hr. Prof. ist im Staatsrechte eben so unglücklich, wie im canonischen!"
209,210,"Wir haben bisber nicht gewußt, daß die Garantie sich so weit erstrecke, und daß unsere Deutschen ihre gesetzgebende Macht (eine authentische Erklärung des Gesetzes ist Gesetz) au Frankreich und Schweden veräußert haben."
210,211,V..
211,212,Z. Kurzgefaßte Nachricht.
212,213,Mit Anfange des dießlährigen Studlencursus
213,214,lst die juridische Facultät der hohen Schule zu Wien mit dem neuen Lehrstuhle der Staaterechnungs Wissenschaft vermehret wotden.
214,215,"Dos Buch, nach welchem vorgelesen wird, ist von Hrn. Brand."
215,216,"Zugleich lst auch befoblen worden, daß ein seder, welcher zu den Graden der Rechtsgelehrsamtelt befördert werden will, den Vorlesungen über die Kirchengeschichte deygewohnet haben, und daraus geprüft werden muß."
216,217,Philosophic.
217,218,Uiber Preßfreyheit und deren Gränzen.
218,219,"Zur Beherzigung für Regenten, Censoren, und Schriftsteller."
219,220,1787.
220,221,134 S. 8. (Forts.
221,222,der in dem 1. St. abgebr.
222,223,Anzeige.)
223,224,Nach diesen Prämissen folgen in dem 6 und 7 Abschnitte die allgemeinen Grundsätze des V. über die Preßfreyheit und deren Gränzen.
224,225,"Aus dem Vorhergehenden kann man schon leicht schließen, daß er auf eine beynahe uneingeschränkte Freyheit zu reden und zu schreiben den Antrag machen werde;"
225,226,"wer dieses vermuthet, findet sich in seiner Erwartung nicht betrogen."
226,227,"Die Freyheit, seine Einsichten und Urtheile mitzutheilen, sagt der V., es sey mündlich oder schriftlich, ist eben, wie die Freyheit zu denken, ein allgemeines, heiliges, unverletzliches Recht der Menschheit."
227,228,(So wenig Rec.
228,229,die Vortheile einer weisen Preßfreyheit verkennen kann;
229,230,"so wenig ist es ihm doch auch möglich sich zu überzeugen, daß die Freyheit das Gedachte mitzutheilen mit der Freyheit zu denken im Allgemeinen gleiche Rechte habe."
230,231,"Was ich bloß denke, hat, wenn ich das Gedachte nicht durch Zeichen oder Handlungen mittheile, keinen, wenigstens keinen nahen Einfluß auf andere;"
231,232,"was ich aber wirklich, durch Zeichen oder Handlungen mittheile, davon kann ich den nähern Einfluß auf andere nicht mehr verhindern."
232,233,"Weil also die Freyheit zu denken auch als ein dem ausser aller Verbindung lebenden Menschen zustehendes Recht betrachtet werden kann, die Freyheit zu reden, und zu schreiben aber jederzeit nothwendig gewisse Verhältnisse, in denen der Redende oder Schreibende mit andern steht, voraussetzt;"
233,234,so scheint auch bey Bestimmung der Gränzen von beyden Rechten schon eine Verschiedenheit eintreten zu müssen.)
234,235,"Die Gründe, mit denen der V. den angeführten Satz unterstützet, sind:"
235,236,"1. Die Freyheit seine Kenntnisse und Urtheile mitzutheilen, ist erstlich darum ein allgemeines Recht der Menschheit, weil und so fern alle Menschen die Kraft dazu vom Schöpfer erhalten haben, (und so fern sie, gehort nothwendiq dazu, diese Kraft den Absichten des Schöpfers, und dem Besten des Ganzen gemäß gebrauchen.)"
236,237,"2. Beyde Rechte (zu denten, und das Gedachte mitzutheilen) sind so unzertrennlich mit einander verbunden, daß der, welcher mir das Recht zu reden entreißt, auch des Rechts zu denken mich verlustig macht;"
237,238,"denn, (a) wenn die Menschen ihre verlangte (erlangten) Kenntnisse und Einsichten nicht frey mittheilen dürfen, so fällt aller Zweck (sollte heißen: der Hauptzweck, denn man sammelt ja auch Keuntnisse zu seiner eigenen Belehrung, Beruhigung rc.)"
238,239,"dahin, warum man Kenntnisse einsammelt."
239,240,(b)
240,241,"Das Mittheilen ist nicht nur der vornehmste Zweck des Denkens, sondern auch ein allgemeines Bedürfniß, dessen Befriedigung uns jenes Recht zu denken erst genießbar macht."
241,242,(c)
242,243,"Das Recht zu reden ist selbst das einzige (vorzüglichste) Mittel, die einzige Möglichkeit, das Recht zu denken zu benutzen."
243,244,3.
244,245,"Auf dem Rechte, seine Einsichten und Urtheile mitzutheilen, beruhet die ganze Ruhe des Menschen, in Absicht auf seine Uiberzeugungen, und folglich auch alle Thätigkeiten des Menschen so wohl im bürgerlichen Leben als für die Tugend."
245,246,"Es giebt zwey Mittel, durch welche man zur Gewißheit seiner Wahrnehmungen, Urtheile und Kenntnisse, gelangen kann: Selbstprüfung, und Autorität, oder das Zusammenstimmen mehrerer einsichtsvoller Menschen, welches Letztere besonders bey moralischen Dingen als bloßes Zugewicht auf der Wageschale der Wahrheit unsern Uiberzeugungen mehr Festigkeit und Stärke giebt."
246,247,"Von beyden Mitteln kann aber kein gehöriger Gebrauch gemacht werden, wenn nicht Freyheit zu reden, und zu schreiben herrscht."
247,248,4.
248,249,"Wenn das Recht sich mitzutheilen nicht als ein allgemeines Menschenrecht gilt, so entstehen Monopolisten der Wahrheit, welche den Verstand aller übrigen Menschen zum Sklave machen, und ihn auch der Freyheit zu denken berauben."
249,250,Nach Auseinandersetzung dieser Gründe geht der V. auf den 7. Absch.
250,251,"über, wo er die Frage untersucht, ob das Recht, das Gedachte mitzutheilen, keine Einschränkungen leide, und welche?"
251,252,Seine Grundsätze hierüber lassen sich auf folgende zurückleiten:
252,253,Jede Einschränkung eines Rechts kann eine physische oder moralische seyn.
253,254,"Das Recht zu denken ist bloß einer moralischen, das zu reden aber zugleich einer physischen empfänglich."
254,255,"Denken ist innere Thätigkeit der Seele, auf welche leine physische Gewalt (unmittelbar) zu wirken vermag."
255,256,"Die moralische Einschränkung aber besteht in eigenen Vorstellungen unserer Seele, welche uns als Bewegungogründe erscheinen, unser Recht selbst einzuschränlen."
256,257,"(Worin die Gränzen bestehen, innerhalb deren der vernünftige Wahrheitsforscher sich halten muß, hat der V., (wie er hier sagt, in einer andern Schrift entwickelt;"
257,258,"es wäre aber seinen Lesern gewiß lieb gewesen, wenn er seine Gesinnungen über diesen wichtigen Punet auch hier beygesetzt hätte.)"
258,259,Das Recht zu reden hingegen steht mit der menschlichen Gesellschaft in einem nahen Verhältniß.
259,260,"Die Menschen, auf welche gewirkt wird, konnen Gegenwirkungen hervorbringen, und also durch Reaction den Handelnden einschränken;"
260,261,"und daraus folgt auch das Recht des Staats, solche Handlungen, welche den Staat, oder die Mitglieder desselben afficiren in Obacht zu nehmen und zu verhüten, daß theils das Wohl der Gesellschaft, theils die Rechte der Einzelnen, nicht dabey leiden."
261,262,"Aus diesem Grundsatze ergiebt sich nun von selbst die Natur aller Beschränkungen, sowohl der Rechte der Menschheit überhaupt, als des Rechts, seine Gedanlen und Urtheile bekannt zu machen, ins Besondere."
262,263,Nämlich sie (die Beschränkungen) konnen sich 1. nie auf das ganze Recht erstrecken;
263,264,"denn das Recht zu reden kann ohne Tyranney, ohne Eingriff in die Majestätorechte Gottes keinem Menschen genommen werden, so wenig als das Recht zu leben, Luft zu athmen rc."
264,265,2.
265,266,Die Beschränkungen konnen sich auch auf kein Object des Rechts erstrecken;
266,267,"(der V. will sagen, die Beschränkungen dürfen sich auf keinen Gegenstand ganz erstrecken, so daß in Ansehung desselben gar keine Freyheit zu reden Statt hätte,) denn so allgemein uns Gott fähig gemacht hat, zu denlen, so allgemein will er auch, daß wir uns sollen mittheilen konnen."
267,268,"Einschränkungen erstrecken sich also nur auf einzelne Handlungen, durch welche ein Mensch von seinem Rechte Gebrauch macht, folglich nicht auf das ganze Recht, sondern nur auf die Art des Gebrauchs in einzelnen Fällen, wenn nämlich und so fern in einem solchen einzelnen Falle die Gesellschaft oder die Rechte der Einzelnen wirklich leiden sollten."
268,269,"(Hier macht also der V. selbst die nöthige Einschränkung, die er schon oben bey Nro. 5 hätte machen sollen.)"
269,270,Die Jnhaber der gesetzgebenden Macht müssen aber mit den Rechten der Menschheit gewissenhaft umgehen;
270,271,"sie müssen streng und sorgfältig untersuchen, ob in einem einzelnen Falle die Art des Gebrauchs einen wirklichen, und erheblichen Schaden thue."
271,272,Am Ende dieses Absch.
272,273,"führt der V. eine k. k. Verordnung für die Büchercensur vom 11ten Jun. 1781. an, die er seinen weitern Aeußerungen zum Grunde legen will;"
